APR,Fix_Var,Annual_Fee,VISA_MC,BK,Fails,Sales,%
14.9,Fixed,20,Visa,255,172671,4329,0.025070799
14.9,Fixed,20,Visa,190,80239,1761,0.021946934
14.9,Fixed,0,Visa,190,47549,2451,0.051546825
14.9,Var.,20,Visa,255,166996,3004,0.017988455
14.9,Var.,20,Visa,190,49292,708,0.014363386
16.8,Fixed,20,MC,210,165467,1533,0.009264687
16.8,Fixed,0,MC,210,78104,2896,0.037078767
16.8,Fixed,20,Visa,255,252017,2983,0.011836503
16.8,Fixed,0,Visa,255,62484,2516,0.040266308
16.8,Fixed,20,Visa,190,49628,372,0.007495769
19.8,Fixed,20,MC,210,142410,590,0.004142967
19.8,Fixed,0,MC,210,97948,2052,0.020949892
19.8,Fixed,20,Visa,255,34825,175,0.005025126
19.8,Fixed,0,Visa,255,92885,2115,0.022770092
